x (m)	y (m)	yn (m)	yc (m)	z (m)
480.0000	481.6542	1.2000	0.9000	0.4800
481.0000	482.6542	1.2000	0.9000	0.4810
482.0000	483.6542	1.2000	0.9000	0.4820
483.0000	484.6542	1.2000	0.9000	0.4830
484.0000	485.6542	1.2000	0.9000	0.4840
485.0000	486.6542	1.2000	0.9000	0.4850
486.0000	487.6542	1.2000	0.9000	0.4860
487.0000	488.6542	1.2000	0.9000	0.4870
488.0000	489.6542	1.2000	0.9000	0.4880
489.0000	490.6542	1.2000	0.9000	0.4890
490.0000	491.6542	1.2000	0.9000	0.4900
491.0000	492.6542	1.2000	0.9000	0.4910
492.0000	493.6542	1.2000	0.9000	0.4920
493.0000	494.6542	1.2000	0.9000	0.4930
494.0000	495.6542	1.2000	0.9000	0.4940
495.0000	496.6542	1.2000	0.9000	0.4950
496.0000	497.6542	1.2000	0.9000	0.4960
497.0000	498.6542	1.2000	0.9000	0.4970
498.0000	499.6542	1.2000	0.9000	0.4980
499.0000	500.6542	1.2000	0.9000	0.4990
500.0000	501.6542	1.2000	0.9000	0.5000
501.0000	502.6542	1.2000	0.9000	0.5010
502.0000	503.6542	1.2000	0.9000	0.5020
503.0000	504.6542	1.2000	0.9000	0.5030
504.0000	505.6542	1.2000	0.9000	0.5040
505.0000	506.6542	1.2000	0.9000	0.5050
506.0000	507.6542	1.2000	0.9000	0.5060
507.0000	508.6542	1.2000	0.9000	0.5070
508.0000	509.6542	1.2000	0.9000	0.5080
509.0000	510.6542	1.2000	0.9000	0.5090
510.0000	511.6542	1.2000	0.9000	0.5100
511.0000	512.6542	1.2000	0.9000	0.5110
512.0000	513.6542	1.2000	0.9000	0.5120
513.0000	514.6542	1.2000	0.9000	0.5130
514.0000	515.6542	1.2000	0.9000	0.5140
515.0000	516.6542	1.2000	0.9000	0.5150
516.0000	517.6542	1.2000	0.9000	0.5160
517.0000	518.6542	1.2000	0.9000	0.5170
518.0000	519.6542	1.2000	0.9000	0.5180
519.0000	520.6542	1.2000	0.9000	0.5190
520.0000	521.6542	1.2000	0.9000	0.5200
521.0000	522.6542	1.2000	0.9000	0.5210
522.0000	523.6542	1.2000	0.9000	0.5220
523.0000	524.6542	1.2000	0.9000	0.5230
524.0000	525.6542	1.2000	0.9000	0.5240
525.0000	526.6542	1.2000	0.9000	0.5250
526.0000	527.6542	1.2000	0.9000	0.5260
527.0000	528.6542	1.2000	0.9000	0.5270
528.0000	529.6542	1.2000	0.9000	0.5280
529.0000	530.6542	1.2000	0.9000	0.5290
530.0000	531.6542	1.2000	0.9000	0.5300
531.0000	532.6542	1.2000	0.9000	0.5310
532.0000	533.6542	1.2000	0.9000	0.5320
533.0000	534.6542	1.2000	0.9000	0.5330
534.0000	535.6542	1.2000	0.9000	0.5340
535.0000	536.6542	1.2000	0.9000	0.5350
536.0000	537.6542	1.2000	0.9000	0.5360
537.0000	538.6542	1.2000	0.9000	0.5370
538.0000	539.6542	1.2000	0.9000	0.5380
539.0000	540.6542	1.2000	0.9000	0.5390
540.0000	541.6542	1.2000	0.9000	0.5400
541.0000	542.6542	1.2000	0.9000	0.5410
542.0000	543.6542	1.2000	0.9000	0.5420
543.0000	544.6542	1.2000	0.9000	0.5430
544.0000	545.6542	1.2000	0.9000	0.5440
545.0000	546.6542	1.2000	0.9000	0.5450
546.0000	547.6542	1.2000	0.9000	0.5460
547.0000	548.6542	1.2000	0.9000	0.5470
548.0000	549.6542	1.2000	0.9000	0.5480
549.0000	550.6542	1.2000	0.9000	0.5490
550.0000	551.6542	1.2000	0.9000	0.5500
551.0000	552.6542	1.2000	0.9000	0.5510
552.0000	553.6542	1.2000	0.9000	0.5520
553.0000	554.6542	1.2000	0.9000	0.5530
